CustomerID,TotalOrders,TotalSpent,AverageSpent,ItemsBought,CanceledInvoices,MostFrequentDay,MostFrequentHour,ProductDiversity,FirstPurchase,LastPurchase,Country,LifeTime,Recency
12346,1,0.0,0.0,0,1,Tuesday,10,1,2011-01-18 10:01:00,2011-01-18 10:17:00,United Kingdom,0,325
12347,7,4310.0,23.681318681318682,2458,0,Tuesday,14,103,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,365,1
12348,4,1797.24,57.97548387096774,2341,0,Thursday,19,22,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,282,74
12349,1,1757.55,24.076027397260273,631,0,Monday,9,73,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,0,18
12350,1,334.4,19.670588235294115,197,0,Wednesday,16,17,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,0,309
12352,1,1545.41,16.267473684210525,470,10,Tuesday,14,59,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,260,35
12353,1,89.0,22.25,20,0,Thursday,17,4,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,0,203
12354,1,1079.4,18.610344827586207,530,0,Thursday,13,58,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,0,231
12355,1,459.4,35.33846153846154,240,0,Monday,13,13,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,0,213
12356,3,2811.43,47.65135593220339,1591,0,Tuesday,9,53,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,302,22
12357,1,6207.67,47.38679389312977,2708,0,Sunday,16,131,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,0,32
12358,2,1168.06,61.47684210526315,248,0,Tuesday,10,13,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,149,1
12359,0,6182.9800000000005,24.63338645418327,1599,6,Thursday,12,214,2011-01-12 12:43:00,2011-12-02 11:21:00,Cyprus,323,7
12360,3,2662.06,20.63612403100775,1165,0,Tuesday,15,105,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,148,51
12361,1,189.9,18.990000000000002,91,0,Friday,13,10,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,0,286
12362,5,5154.58,18.812335766423356,2212,8,Thursday,15,201,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,292,2
12363,2,552.0,24.0,408,0,Monday,13,23,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,132,109
12364,4,1313.1,15.448235294117646,1506,0,Friday,15,70,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,104,7
12365,2,320.69,13.94304347826087,173,1,Monday,13,22,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,0,290
12367,1,168.9,15.354545454545455,173,0,Monday,16,11,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,0,3
12370,4,3541.94,21.33698795180723,2352,0,Tuesday,12,143,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus,309,50
12371,2,1887.96,29.96761904761905,591,0,Tuesday,10,63,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland,14,44
